,Name,Attribute Vector,Percentiles
151,Khvicha Kvaratskhelia,"[0.31, 0.28, 3.31, 0.39, 0.28, 0.56, 5.05, 39.93, 78.1, 3.08, 5.36, 3.08, 6.73, 10.46, 1.54, 0.2, 0.73, 0.31, 0.36]","[75, 75, 92, 95, 82, 80, 89, 62, 72, 34, 94, 95, 95, 85, 64, 11, 25, 30, 34]"
157,Rafael Leão,"[0.43, 0.34, 3.0, 0.32, 0.26, 0.6, 4.38, 29.61, 70.3, 3.95, 4.76, 3.14, 5.19, 8.17, 0.3, 0.49, 0.3, 0.41, 0.97]","[95, 90, 87, 89, 79, 90, 74, 17, 25, 57, 89, 97, 82, 59, 1, 53, 1, 46, 86]"
163,James Maddison,"[0.33, 0.24, 3.01, 0.33, 0.34, 0.58, 5.01, 41.73, 73.4, 5.48, 2.79, 1.67, 3.74, 5.63, 1.85, 0.47, 0.69, 0.22, 0.15]","[79, 62, 88, 90, 94, 84, 87, 70, 36, 85, 40, 57, 44, 20, 83, 51, 20, 16, 8]"
168,Ruslan Malinovskyi,"[0.1, 0.15, 2.73, 0.15, 0.22, 0.37, 4.2, 44.24, 75.3, 5.76, 2.73, 1.82, 1.72, 5.92, 1.77, 0.4, 1.06, 0.56, 1.01]","[15, 21, 81, 36, 64, 40, 67, 75, 54, 91, 36, 63, 2, 24, 79, 40, 55, 64, 88]"
183,Kaoru Mitoma,"[0.27, 0.31, 2.02, 0.19, 0.25, 0.56, 4.19, 37.93, 79.8, 3.49, 5.55, 2.25, 6.87, 10.09, 1.71, 0.66, 0.97, 0.39, 0.7]","[67, 88, 41, 54, 77, 82, 67, 54, 79, 46, 95, 84, 97, 82, 74, 72, 49, 43, 72]"
184,Mason Mount,"[0.13, 0.12, 2.02, 0.17, 0.16, 0.28, 3.58, 45.24, 76.4, 5.95, 2.41, 0.86, 3.32, 6.68, 1.98, 0.52, 1.34, 0.47, 0.56]","[21, 9, 42, 46, 38, 15, 45, 76, 58, 93, 24, 14, 35, 33, 87, 56, 79, 56, 60]"
192,Pedro Neto,"[0.0, 0.1, 1.59, 0.0, 0.2, 0.3, 3.83, 35.85, 74.0, 2.24, 3.45, 1.68, 4.29, 10.36, 1.03, 0.37, 0.47, 0.37, 0.0]","[1, 5, 20, 1, 53, 19, 55, 45, 40, 9, 63, 58, 60, 84, 28, 34, 4, 39, 1]"
231,Raphinha,"[0.29, 0.36, 3.46, 0.32, 0.39, 0.75, 4.82, 54.03, 71.7, 4.6, 4.0, 1.82, 5.25, 13.77, 1.5, 0.71, 1.43, 0.5, 0.54]","[70, 92, 95, 87, 97, 98, 85, 90, 28, 72, 78, 62, 82, 97, 60, 75, 85, 59, 55]"
238,Richarlison,"[0.2, 0.29, 2.42, 0.2, 0.2, 0.48, 3.14, 25.4, 70.4, 2.62, 2.75, 0.98, 5.69, 6.87, 1.57, 0.46, 1.18, 0.65, 1.44]","[43, 82, 68, 56, 53, 71, 27, 6, 26, 17, 37, 18, 88, 36, 65, 46, 68, 71, 94]"
240,Rodrigo,"[0.09, 0.1, 0.94, 0.22, 0.12, 0.22, 3.23, 48.41, 85.5, 5.65, 3.1, 2.02, 2.74, 6.01, 1.03, 0.72, 0.67, 0.13, 0.09]","[13, 3, 2, 64, 19, 5, 32, 85, 97, 90, 51, 75, 21, 26, 28, 77, 19, 10, 6]"
